name,URL,stars,type,rating,pitches,Length,latitude,longitude,id,location,grade,safety,Unnamed: 0
The Good Book,https://www.mountainproject.com/route/105964912/the-good-book,1.0,Trad,5.9,2,200,33.99344,-116.13893,105964912,"['Saddle Rocks - Cantle', 'Saddle Rocks', 'Saddle Rocks Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",9,S,
A Trip to the Tip,https://www.mountainproject.com/route/105797513/a-trip-to-the-tip,1.0,Trad,5.9,1,70,34.03514,-116.05199,105797513,"['Zsa Zsa Gabor Memorial Boulder', 'North Hollywood', 'Hollywood Area', 'OZ Area', 'Joshua Tree National Park', 'California']",9,S,
"Dig the well, Build The Cabin",https://www.mountainproject.com/route/106044259/dig-the-well-build-the-cabin,1.0,Trad,5.9,1,,34.05165,-116.20082,106044259,"['Vagmarken Hill - Chores Of Yore Crag', 'Vagmarken Hill', 'Quail Springs Area', 'Joshua Tree National Park', 'California']",9,S,
Caterpillar,https://www.mountainproject.com/route/105724846/caterpillar,1.0,Trad,5.9,1,50,34.0835,-116.1406,105724846,"['The Polka Dot Wall', 'Rattlesnake Canyon', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,S,
Don't Touch That Flake,https://www.mountainproject.com/route/105723940/dont-touch-that-flake,0.8,Trad,5.9,1,40,34.01466,-116.14454,105723940,"['Sphinx Rock', 'Comic Book Area', 'Joshua Tree National Park', 'California']",9,S,
The Little Man in the Boat,https://www.mountainproject.com/route/105724795/the-little-man-in-the-boat,1.0,Trad,5.9+,1,50,33.95243,-116.09812,105724795,"['The Cheyenne Social Club', ""Jerry's Quarry and Lost Pencil Areas"", 'Geology Tour Road', 'Joshua Tree National Park', 'California']",9,S,
The Enterprise,https://www.mountainproject.com/route/105725182/the-enterprise,1.0,TR,5.9,1,40,33.95987,-116.01732,105725182,"['Stirrup Towers', 'Stirrup Tank', 'Joshua Tree National Park', 'California']",9,S,
Manwich Queen,https://www.mountainproject.com/route/105724762/manwich-queen,0.8,Trad,5.9 X,1,60,34.0214,-116.06832,105724762,"['Queen Crimson Dome', 'Desert Queen Mine', 'Joshua Tree National Park', 'California']",9,X,
Short Story (aka White Torpedo),https://www.mountainproject.com/route/105866866/short-story-aka-white-torpedo,1.0,Trad,5.9,1,50,33.99379,-116.13954,105866866,"['Short Story Crag', 'Saddle Rocks  - Pommel', 'Saddle Rocks', 'Saddle Rocks Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",9,S,
Vice Squad,https://www.mountainproject.com/route/105725233/vice-squad,1.0,TR,5.9,1,40,33.99619,-116.15765,105725233,"['Thin Vice Area', 'Love Nest Area', 'Planet X Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",9,S,
"Swidgeteria, The",https://www.mountainproject.com/route/105840615/swidgeteria-the,1.0,Trad,5.9,1,100,34.01901,-116.17117,105840615,"['Swidgeteria, The', 'Roadside Rocks', 'Joshua Tree National Park', 'California']",9,S,
For A Few Swidgets More,https://www.mountainproject.com/route/105840607/for-a-few-swidgets-more,1.0,Trad,5.9,1,60,34.01901,-116.17117,105840607,"['Swidgeteria, The', 'Roadside Rocks', 'Joshua Tree National Park', 'California']",9,S,
South Swell,https://www.mountainproject.com/route/105725206/south-swell,1.0,Trad,5.9,1,40,34.05023,-116.14105,105725206,"['Wavecrest Rock', 'Far East', 'Wonderland South', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",9,S,
Mighty Mouse,https://www.mountainproject.com/route/119382538/mighty-mouse,1.0,Trad,5.9,1,50,34.03535,-116.1406,119382538,"['Mighty Mouse Rock', 'South Wonderland Approach', 'Wonderland South', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",9,S,
