id,name,type,rating,stars,starVotes,pitches,location,longitude,latitude,safety,grade
105816331,Crack   6,Trad,5.10a,3.9,64,1,"['California', 'Joshua Tree National Park', 'Split Rocks', 'Isles in the Sky', 'Isles Corridor', 'Isles Corridor - Left Side']",-116.0589,34.0045,S,10
105724249,Profundity,Trad,5.10c PG13,3.1,101,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - West Face']",-116.1974,34.0403,PG13,10
105723646,Norwegian Wood,Trad,5.9,3.5,72,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Snickers', 'Snickers - North Face']",-116.1506,34.0252,S,9
105722515,Cranny,Trad,5.8,3.1,138,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - West Face']",-116.1974,34.0403,S,8
105721987,Nectar,Trad,5.4,3.1,102,1,"['California', 'Joshua Tree National Park', 'Split Rocks', 'Isles in the Sky', 'Isles in the Sky (Northeast Face)']",-116.0587,34.0047,S,4
105725629,Minotaur,Trad,5.7,3.1,87,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Atlantis Area', 'Minotaur Wall']",-116.1798,34.0187,S,7
105722311,The Sound of One Shoe Tapping,Trad,5.8,3.1,90,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Cove', 'Echo Cove - North Side']",-116.1578,34.0249,S,8
105722410,Men with Cow's Heads,Trad,5.5,3,202,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Atlantis Area', 'Atlantis Wall', 'Atlantis Wall - Right']",-116.1802,34.0189,S,5
105722299,Butterfingers Make Me Horny,Trad,5.8,3.1,246,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'The Thin Wall']",-116.1728,34.0144,S,8
105722689,Jumping Jack Crack,Trad,5.11a/b,4,61,1,"['California', 'Joshua Tree National Park', 'The Outback', 'Steve Canyon Area', 'Steve Canyon', 'Sidewinder Rock - West Face']",-116.1661,34.0187,S,11
105722407,Solar Technology,Trad,5.6,3.1,183,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Atlantis Area', 'Atlantis Wall', 'Atlantis Wall - Right']",-116.1802,34.0189,S,6
105976311,Bat Crack,Trad,5.5,3,103,2,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'Intersection Rock']",-116.163,34.0148,S,5
105723316,Deflowered,Trad,5.7,3.1,90,1,"['California', 'Joshua Tree National Park', 'The Outback', 'Steve Canyon Area', 'Steve Canyon', 'Grain Surgery Wall']",-116.1664,34.0192,S,7
105725059,The Decompensator of Lhasa,Trad,5.10c/d,4.3,56,1,"['California', 'Joshua Tree National Park', 'The Outback', 'Steve Canyon Area', 'Steve Canyon', 'Grain Surgery Wall']",-116.1664,34.0192,S,10
105725368,Eff Eight,Trad,5.8,3.1,135,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Mounds']",-116.1522,34.0258,S,8
105722329,R. A. F.,Trad,5.9,3,87,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Cove', 'Echo Cove - North Side']",-116.1578,34.0249,S,9
105721918,Spider Line,Trad,5.11d,4.3,54,1,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'The Old Woman', 'The Old Woman - East Face']",-116.1637,34.0167,S,11
105721759,Double Crack,Trad,5.3,3,99,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Short Wall', 'Short Wall - Right Side']",-116.1532,34.0926,S,3
105814427,Too Secret to Find,Trad,5.10b,4.3,55,1,"['California', 'Joshua Tree National Park', 'Wonderland of Rocks', 'Wonderland North', 'North Wonderland Approach', 'Hidden Dome']",-116.1746,34.0543,S,10
105722437,Humerous,Trad,5.10b,3.5,70,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Snickers', 'Snickers - North Face']",-116.1506,34.0252,S,10
105724783,George's Route (aka Binder),Sport,5.8,3.4,73,1,"['California', 'Joshua Tree National Park', 'Wonderland of Rocks', 'Wonderland North', 'The Middle Kingdom', 'Outer Mongolia', 'Siberia']",-116.1699,34.0696,S,8
105723649,Crime of the Century,Trad,5.11a,4,60,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Snickers', 'Snickers - North Face']",-116.1506,34.0252,S,11
105723055,Party in the Desert,Trad,5.10b,4,61,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Rattlesnake Canyon', 'Corral Wall', 'Corral Wall - Left Side']",-116.1426,34.0835,S,10
105725281,Runaway,Sport,5.11a/b,4.3,53,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'Tumbling Rainbow Formation']",-116.1713,34.0123,S,11
105723298,Roan Way,Trad,5.8+,3.8,64,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Lost Horse Wall', 'Lost Horse Wall - Right Side']",-116.1788,34.0217,S,8
105724189,Almost Vertical,Trad,5.7,3,223,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'The Thin Wall']",-116.1728,34.0144,S,7
105721726,Duchess,Trad,5.6,3,124,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Feudal Wall', 'Feudal Wall (Left Side)']",-116.154,34.093,S,6
105724156,Wet Pigeon,Trad,5.8-,3,114,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Atlantis Area', 'Atlantis Wall', 'Atlantis Wall - Right']",-116.1802,34.0189,S,8
105722449,The Mikado,Trad,5.7,3,100,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Feudal Wall', 'Feudal Wall (Right Side)']",-116.1534,34.0931,S,7
105721798,Band Saw,Trad,5.10c R,3.7,66,1,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'The Old Woman', 'The Old Woman - West Face']",-116.1639,34.0166,R,10
105858135,Rites of Spring,Trad,5.9,3.1,77,1,"['California', 'Joshua Tree National Park', 'Split Rocks', 'Isles in the Sky', 'Isles in the Sky (Northeast Face)']",-116.0587,34.0047,S,9
105723796,Karpkwitz,Trad,5.6,2.9,159,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - West Face']",-116.1974,34.0403,S,6
105724318,Buckets to Burbank,Trad,5.8 PG13,3.2,75,1,"['California', 'Joshua Tree National Park', 'Sheep Pass Area', 'Hall of Horrors Area', 'Hall of Horrors', 'West Wall Outer (Buckets to Burbank Area)']",-116.1479,34.001,PG13,8
105725824,Beginner's Three,Trad,5.3,2.9,89,1,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'Intersection Rock']",-116.163,34.0148,S,3
105722314,W. A. C.,Trad,5.8,2.9,83,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Cove', 'Echo Cove - North Side']",-116.1578,34.0249,S,8
105722653,Bebop Tango,Sport,5.11a,4.2,55,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'Solosby Wall']",-116.1711,34.012,S,11
105722671,Ain't Nothing but a J-Tree Thing,Trad,5.6,2.9,224,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'The Thin Wall']",-116.1728,34.0144,S,6
105722413,Ceremony,Trad,5.10c,3.1,76,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Atlantis Area', 'Atlantis Wall', 'Atlantis Wall - Right']",-116.1802,34.0189,S,10
105724186,Chocolate is Better Than Sex,Trad,5.9- R,2.9,99,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'The Thin Wall']",-116.1728,34.0144,R,9
105723937,R.M.L.,Trad,5.9,3.4,69,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Cove', 'Echo Cove - South Face']",-116.1582,34.0242,S,9
105874278,Shardik,Trad,5.3,3.1,76,1,"['California', 'Joshua Tree National Park', 'Wonderland of Rocks', 'Wonderland North', 'North Wonderland Approach', 'Bear Island']",-116.1811,34.0538,S,3
105725692,Gandy,Sport,5.9,3.1,75,1,"['California', 'Joshua Tree National Park', 'Wonderland of Rocks', 'Wonderland North', 'The Middle Kingdom', 'Outer Mongolia', 'Siberia']",-116.1699,34.0696,S,9
105724096,Beginner's One,Trad,5.3 R,2.9,84,1,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'The Blob', 'The Blob - West Face']",-116.1643,34.018,R,3
105722338,Willit Slab,Sport,5.6,3.1,74,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Indian Palisades Corridor']",-116.1544,34.0937,S,6
105721786,Jumping Jehosephat,Trad,5.7,2.8,133,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'Locomotion Rock']",-116.168,34.0134,S,7
105722995,Taken for Granite,Trad,5.8-,4.1,55,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Rattlesnake Canyon', 'Rattlesnake Buttress']",-116.1408,34.0773,S,8
105725587,Music Box,Trad,5.8+,3.1,74,1,"['California', 'Joshua Tree National Park', 'Belle Campground Area', 'Belle Campground', 'Castle Rock', 'Castle Rock - North Side']",-116.0203,34.0017,S,8
106627424,I Love my Marine,Sport,5.7,3.3,68,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Campfire Crag Area', 'Campfire Crag - South Face']",-116.1586,34.0951,S,7
105722998,200 Motels,Trad,5.8,3.8,59,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Rattlesnake Canyon', 'Rattlesnake Buttress']",-116.1408,34.0773,S,8
105846247,Left Banana Crack,Trad,5.10b,3.8,59,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Banana Cracks']",-116.1771,34.0254,S,10
105721804,Dead Bees,Sport,5.9,3.1,73,1,"['California', 'Joshua Tree National Park', 'Split Rocks', 'Isles in the Sky', 'Isles in the Sky (Northeast Face)']",-116.0587,34.0047,S,9
105724006,Grand Theft Avocado,Trad,5.7+,2.8,80,1,"['California', 'Joshua Tree National Park', 'The Outback', 'Steve Canyon Area', 'Steve Canyon', 'The Orc Wall']",-116.1665,34.0188,S,7
105722629,Right Sawdust Crack,Trad,5.8,2.8,101,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - East Face']",-116.1972,34.0403,S,8
105721957,The Official Route of the 1984 Olympics,Trad,5.10c PG13,4.1,53,1,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'Cyclops Rock']",-116.1594,34.015,PG13,10
105722149,Cedric's Deep Sea Fish Market,Trad,5.10d,4,55,1,"['California', 'Joshua Tree National Park', 'Geology Tour Road', 'Virgin Islands Area', 'Star Wars Rock']",-116.0712,33.9504,S,10
105722848,Vector,Trad,5.11c,4.9,37,1,"['California', 'Joshua Tree National Park', 'Loveland', 'Vector Rock']",-116.0534,34.0219,S,11
105723787,B-1,Trad,5.1,2.8,177,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - West Face']",-116.1974,34.0403,S,1
105787743,Maggie's Farm,Trad,5.7,2.8,93,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Mindless Mound']",-116.1778,34.0261,S,7
105721864,Piggle Pugg,Trad,5.10c,3.9,56,1,"['California', 'Joshua Tree National Park', 'Wonderland of Rocks', 'Wonderland South', 'Wonderland Valley', 'West Wonderland Valley', 'The Astro Domes', 'South Astro Dome', 'South Astro Dome - Northeast Face']",-116.1471,34.0386,S,10
