Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bury the Pickle","Solomon Islands > Geology Tour Road > Joshua Tree National Park > California",https://www.mountainproject.com/route/106754543/bury-the-pickle,3.0,-1,Sport,5.10-,1,30,33.94267,-116.1101
Jody,"Jody Boulder > White Tank Campground > Joshua Tree National Park > California",https://www.mountainproject.com/route/105933481/jody,2.0,-1,Trad,5.10b,1,40,33.98812,-116.0121
Octopussy,"Goldfinger Rock > The Safe Zone > Indian Head Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/106042518/octopussy,2.2,-1,Sport,5.10b,1,35,34.0942,-116.0497
"The Wild Goose","The Great White Face > Indian Head Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/106761226/the-wild-goose,1.0,-1,Sport,5.10b,1,80,34.0982,-116.0615
"More Than One Way to Skin A Cat","Peta Crag > Del Taco Crags Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/106826533/more-than-one-way-to-skin-a-cat,2.7,-1,Sport,5.10-,1,50,34.12817,-116.07306
"The Bazooka","Siberia > Outer Mongolia > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/108491363/the-bazooka,2.5,-1,Trad,"5.10b PG13",1,50,34.06957,-116.16993
"Showers With Dad","Siberia > Outer Mongolia > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107537375/showers-with-dad,2.5,-1,Sport,5.10b,1,100,34.06957,-116.16993
"Hiss the Mark","Snake Dome > West Mongolia > Outer Mongolia > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/108169398/hiss-the-mark,-1.0,-1,Trad,5.10a/b,1,70,34.07226,-116.1721
"You'll Rattle on This One!","Snake Dome > West Mongolia > Outer Mongolia > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/108169404/youll-rattle-on-this-one,1.0,-1,Trad,5.10b/c,1,70,34.07226,-116.1721
"High and Dry (AKA Short But Flared)","The Techulator > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107102272/high-and-dry-aka-short-but-flared,2.0,-1,Trad,5.10b,1,40,34.05953,-116.1704
"Under A Raging Moon","The Techulator > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107102308/under-a-raging-moon,2.0,-1,Trad,5.10b,1,50,34.05953,-116.1704
"Muffin Bandits","The Techulator > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725353/muffin-bandits,1.5,-1,Trad,5.10b,1,80,34.05953,-116.1704
"Muffin Head","The Techulator > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725359/muffin-head,1.0,-1,Trad,5.10b,1,80,34.05953,-116.1704
"Mortal Thoughts","Pernicious Dome > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106771910/mortal-thoughts,2.0,-1,Trad,5.10,1,60,34.06091,-116.17034
