Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Riders On The Storm","Smith Rock > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107104410/riders-on-the-storm,2.0,-1,Trad,5.10a,1,60,34.05775,-116.17156
"Clean Crack","Clean Crack Rock > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725506/clean-crack,2.0,-1,Trad,5.10a,1,60,34.05878,-116.17449
"One For The Road","Outward Bound Slab > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106959756/one-for-the-road,1.5,-1,Trad,5.10a,1,60,34.0527,-116.17472
"Tres Fun","Outward Bound Slab > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106959772/tres-fun,2.0,-1,Trad,5.10a,1,60,34.0527,-116.17472
Aftermath,"Ellsmere Island > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724945/aftermath,2.5,-1,Trad,5.10a,1,70,34.05623,-116.17811
Unknown,"Key's Point > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107911842/unknown,2.0,-1,Trad,5.10-,1,25,34.05296,-116.17629
"Puss Boy","Key's Point > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106160621/puss-boy,1.3,-1,Trad,5.10-,1,40,34.05296,-116.17629
Fage,"Key's Point > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/110528705/fage,2.0,-1,Trad,5.10a/b,1,70,34.05296,-116.17629
"Fresh Squeezed","Reggie Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724855/fresh-squeezed,2.4,-1,Sport,5.10a,1,80,34.04045,-116.17781
"Short Cut","Reggie Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107185379/short-cut,2.2,-1,Trad,5.10a,1,40,34.04045,-116.17781
"I'm a local","Financial Wall > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106664258/im-a-local,1.0,-1,Trad,5.10a,1,65,34.04971,-116.17459
"Major Creative Effort","Hidden Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107167775/major-creative-effort,1.8,-1,Trad,5.10a,1,130,34.05425,-116.17459
"The Screaming Woman","Hidden Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106129754/the-screaming-woman,1.8,-1,Trad,"5.10a R",1,60,34.05425,-116.17459
Fantastique!,"Mustang Ranch > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/116496870/fantastique,2.5,-1,Sport,5.10-,1,45,34.0519,-116.18153
"Guns for Nuns","Ginger's Face > Gilligan's Island > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105931014/guns-for-nuns,1.8,-1,TR,"5.10a R",1,80,34.05701,-116.17837
"Northwest Passage","Mary Ann's Face > Gilligan's Island > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724771/northwest-passage,1.0,-1,Trad,"5.10a R",1,60,34.05664,-116.17796
"Ape Man Hop","Mary Ann's Face > Gilligan's Island > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724774/ape-man-hop,2.0,-1,Trad,5.10a,1,60,34.05664,-116.17796
"It's Not Rocket Science","B-52 Rock > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107114763/its-not-rocket-science,1.5,-1,TR,5.10a,1,30,34.03906,-116.17736
"Big Gulp","The Convenience Store > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106059295/big-gulp,1.0,-1,Trad,5.10a,1,50,34.05296,-116.17629
"Through the Looking Glass","The Looking Glass > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106071841/through-the-looking-glass,1.0,-1,Trad,5.10-,1,80,34.05296,-116.17629
"A Date with Destiny Brown","Patch Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/108256092/a-date-with-destiny-brown,3.0,-1,Sport,5.10a,1,50,34.05296,-116.17629
"Brain Tumor","Unreported Rock > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/108492864/brain-tumor,1.3,-1,Sport,5.10a,1,70,34.05296,-116.17629
"Way Cool","Unreported Rock > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107024839/way-cool,2.6,-1,Sport,5.10-,1,60,34.05296,-116.17629
"The Booger Man","Peril Rock > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106774961/the-booger-man,2.2,-1,Trad,5.10a,1,50,34.05296,-116.17629
"Bubba Takes a Siesta","Bubba Rock > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/112892825/bubba-takes-a-siesta,2.0,-1,Trad,5.10a,1,60,34.03981,-116.17688
"Dr. Scholl's Wild Ride","The Foot > Atom Smasher Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724147/dr-scholls-wild-ride,1.0,-1,Trad,5.10a,1,200,34.07191,-116.15779
"The New Shoe Review","The Foot > Atom Smasher Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724150/the-new-shoe-review,1.0,-1,Trad,5.10a,2,200,34.07191,-116.15779
"Blitzo Crack","[Redacted] > Atom Smasher Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048953/blitzo-crack,2.0,-1,Trad,5.10a,1,,34.07049,-116.1588
"Lion's Share","The Super Block > Willow Hole Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105817095/lions-share,2.0,-1,Sport,5.10a/b,1,60,34.07259,-116.15305
"The Great Unknown","The Super Dome > Willow Hole Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106683695/the-great-unknown,3.0,-1,Trad,5.10a,3,300,34.07296,-116.15346
